Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.0,0.6981047374046502,-0.44603253331478143,-0.5731241115009917,
0.0050354,0.45505361414247014,-0.4123680188393255,-0.3071931368570434,
0.010040283,-0.13012214774852393,-0.33564392679021005,-0.19594982198563482,
0.015045166,-0.32244488616756917,-0.20339062971341804,0.26078164631774214,
0.020080566,-0.7368011237778054,0.013495992323015571,0.6434153561166938,
0.025085449,-0.7867187310534943,0.27321134463966246,0.671787948955855,
0.030090332,-0.5087084809365455,0.4043600913367307,0.43208367947718407,
0.035125732,-0.49507713631173644,0.5552385613506345,0.21926313498799727,
0.040130615,0.13832549798186083,0.493995536580508,0.006855820490397804,
0.045135498,0.3692419413542387,0.25919789410815675,-0.28756954282643177,
0.050170898,0.745503416364641,0.0847753074740254,-0.5652362983236454,
0.055175781,0.8741249010604628,-0.22522174620827862,-0.4234658941276664,
0.060180664,0.6495074403796203,-0.3583146039978722,-0.3828278910833831,
0.065216064,0.4717177687099463,-0.48776252304204704,-0.31583262536670653,
0.070220947,-0.1321106483132929,-0.3480713465586369,-0.1492359245121152,
0.07522583,-0.5826172295881343,-0.14437504599690953,0.03575042054655786,
0.080230713,-0.8338428071080075,0.03772261945247202,0.36187670362474633,
0.085266113,-1.170809597248906,0.2695945994682276,0.6936395464935471,
0.090270996,-0.9481467012366249,0.4436053670745821,0.6238691567260877,
0.095275879,-0.56314382583305,0.3893691569409157,0.26349962225587015,
0.100311279,-0.37965324426019,0.4800378060214818,-0.09565782172655388,
0.105316162,0.45092828349809805,0.12162790106718546,-0.2929569214437431,
0.110321045,0.40671430648597845,0.09538581694749837,-0.5082669043424946,
0.115325928,0.9746756444075328,-0.2493016980045013,-0.4066135234739957,
0.120361328,0.8582805545885264,-0.3584135263723507,-0.1988748031541966,
0.125366211,0.6214999319520711,-0.43421617266038126,-0.04992015502335728,
0.130371094,0.3995070744679069,-0.437387586565805,0.04050821191881421,
0.135406494,-0.35460088339442447,-0.204341221596394,0.06879572969130138,
0.140411377,-0.5096938903092896,-0.014083328839614495,0.2101757439092911,
0.14541626,-0.7716711278724318,0.15920452833455911,0.507166474033683,
0.15045166,-0.8835722538604455,0.3572098140738973,0.4593586675081963,
0.155456543,-0.3640111234008564,0.2857678512591182,0.2506534379128071,
0.160461426,-0.3084452268456851,0.3646006091322942,0.12391142220524566,
0.165466308,0.22633952164845195,0.247625311524585,-0.11348072551705349,
0.170501709,0.5296678087250115,-0.037483246874082,-0.2784920999448928,
0.175506592,0.6037757508862592,-0.0778747810930156,-0.5311677033934143,
0.180511474,0.9446294874277574,-0.38791017643691283,-0.23531013927723143,
0.185546875,0.590981910254706,-0.37161964505578027,-0.13078961532803512,
0.190551758,0.47661853601626486,-0.45244708323212457,-0.14485386023117808,
0.19555664,0.06717129365676189,-0.3102364751794493,0.008616423533807538,
0.200592041,-0.5381086681995906,-0.045161836393559085,0.15246198648329606,
